from_stop_id,to_stop_id,transfer_type,min_transfer_time
4008223,2147,2,208
3685862,2154,2,204
4028836,2035,2,234
3748084,2371,2,247
3672262,1832,2,269
3716942,2170,2,239
5675641,1955,2,356
1967,2155,2,400
3813032,2433,2,227
4037764,2433,2,186
4022995,1803,2,239
4472671,1856,2,234
5709981,2331,2,234
4016325,2036,2,177
3687241,2155,2,246
4459253,2155,2,221
3748086,1832,2,202
2223,2036,2,360
4036769,1892,2,237
3812967,2036,2,243
4037204,1980,2,211
2545,2028,2,234
3748055,2062,2,287
1166834,2036,2,180
3813137,2028,2,284
4008849,2147,2,208
3764513,1892,2,226
4036769,2288,2,237
3747960,2154,2,216
3813103,2062,2,220
4037178,2443,2,197
2067,5922161,2,302
3687251,2062,2,209
4037247,1751,2,257
3748070,1751,2,257
6591847,1892,2,223
2531,1832,2,153
5675641,2210,2,356
4037163,2154,2,204
3687088,2155,2,246
4035989,2210,2,373
2144,2083,2,106
6423488,1832,2,201
4996974,2210,2,363
3811242,2200,2,200
2219,2155,2,130
3813012,1755,2,222
4726938,2111,2,197
1166833,2210,2,240
4037775,2544,2,210
3877768,2342,2,252
5727702,2036,2,243
4035990,2210,2,189
4037286,1945,2,262
3343792,1698,2,180
3813138,2028,2,205
4022903,2433,2,264
6423486,1832,2,189
4028837,2154,2,247
3740325,2028,2,203
3812919,2036,2,230
4037178,1698,2,197
4016741,2258,2,275
3748069,1751,2,225
4016270,2331,2,216
4037793,2170,2,202
4024820,2283,2,267
3764812,2036,2,160
3716926,1955,2,359
1651,1832,2,136
3687242,2036,2,282
5727632,1688,2,269
3672105,2371,2,269
2384,2383,2,99
3813032,1755,2,227
4016743,1803,2,269
3672107,1751,2,257
4037188,2062,2,191
3764511,2155,2,282
5761325,1755,2,216
5657314,1751,2,252
6114730,2155,2,265
3343763,2170,2,180
5018399,1892,2,223
4037753,2342,2,269
4036767,2155,2,246
4997021,2111,2,241
5478405,2035,2,201
4022893,1945,2,235
3765441,2170,2,239
4037752,1803,2,207
5675642,1955,2,189
1755,4035035,2,186
3764615,2155,2,252
4109729,2035,2,247
4472697,1755,2,264
5709894,2154,2,218
1166835,2036,2,180
4022890,2544,2,229
3716966,1955,2,359
4726739,2155,2,243
5727634,1980,2,211
4036985,2036,2,200
3764732,1945,2,208
4022994,1803,2,216
6251745,1892,2,239
1774,2383,2,71
3813079,2111,2,241
4008848,2147,2,191
4036769,2036,2,240
5709887,2067,2,225
4037786,2155,2,198
3813102,2062,2,195
4037265,2111,2,209
4459252,2155,2,246
4008222,2147,2,191
3747835,2111,2,241
3764616,2155,2,199
3672171,2429,2,225
4770183,1892,2,226
1755,4035040,2,222
4016326,2036,2,243
6309128,1933,2,303
3811236,1980,2,211
4036193,2067,2,302
3764770,1945,2,262
4146146,1751,2,213
3748072,2470,2,260
4037286,2200,2,262
6423487,1832,2,201
3813012,2433,2,222
4016266,1892,2,245
4146116,1832,2,269
4036205,1955,2,383
4037248,1725,2,192
5710036,2036,2,160
6416985,2429,2,265
4726949,2062,2,209
3765275,2429,2,236
3687079,2111,2,209
5709892,2154,2,193
3749909,1945,2,200
4037760,1856,2,292
5657318,1832,2,272
3764771,2200,2,208
1982,1980,2,119
2221,2155,2,284
4037197,2036,2,198
4022899,2147,2,259
5709979,2155,2,243
3673587,2210,2,198
4726740,2155,2,256
2211,1955,2,231
6309128,2258,2,303
3686057,2035,2,234
2035,5922159,2,229
3807576,2383,2,226
4472659,2283,2,230
3926289,2371,2,196
4024197,2283,2,270
6664354,1832,2,252
3811237,1980,2,239
6673110,2155,2,207
2342,4035033,2,207
3673588,1955,2,383
3748056,2062,2,264
2035,5922160,2,193
4022906,1856,2,234
4036217,2116,2,225
4044993,2062,2,197
3687089,2155,2,294
2342,4035034,2,269
4036218,2116,2,259
5709893,2154,2,201
4037767,2147,2,259
3747869,2062,2,209
4472664,2342,2,207
3687091,1773,2,191
3765194,2210,2,400
2112,2062,2,68
4022953,2200,2,240
4016327,2155,2,308
4016330,1773,2,191
6114732,2036,2,256
3812918,1892,2,272
3764510,2155,2,246
4024289,1803,2,211
4726939,2062,2,241
4037173,2371,2,210
1965,2036,2,240
2025,2083,2,95
6664353,2371,2,201
3811241,2544,2,210
4022905,2323,2,292
4022891,2544,2,210
3926339,1955,2,390
4016329,1864,2,216
4024168,2283,2,247
4997023,1955,2,376
4037224,1856,2,196
5727631,2383,2,191
4037753,1803,2,269
6251745,2155,2,235
5251749,2433,2,216
4798794,2154,2,194
4022905,1856,2,292
3765275,1751,2,236
3813083,1955,2,198
4008208,1980,2,222
4037224,2323,2,196
3926384,2331,2,244
5478404,2154,2,207
4472696,2433,2,230
